name	chrom	strand	chromStart	chromEnd	source
mmu-mir-1956	chr3	+	138189384	138189449	ucsc-mm9-miRNA
mmu-mir-186	chr3	+	157207242	157207313	ucsc-mm9-miRNA
mmu-mir-684-2	chr4	+	11061243	11061329	ucsc-mm9-miRNA
mmu-mir-876	chr4	-	36592405	36592486	ucsc-mm9-miRNA
mmu-mir-873	chr4	-	36615542	36615619	ucsc-mm9-miRNA
mmu-mir-207	chr4	+	40669949	40670028	ucsc-mm9-miRNA
mmu-mir-1958	chr4	-	48225990	48226087	ucsc-mm9-miRNA
mmu-mir-32	chr4	-	56908100	56908170	ucsc-mm9-miRNA
mmu-mir-455	chr4	+	62917884	62917966	ucsc-mm9-miRNA
mmu-mir-491	chr4	+	87767943	87768029	ucsc-mm9-miRNA
mmu-mir-31	chr4	-	88556460	88556566	ucsc-mm9-miRNA
mmu-mir-872	chr4	+	94331847	94331928	ucsc-mm9-miRNA
mmu-mir-101a	chr4	-	101019549	101019632	ucsc-mm9-miRNA
mmu-mir-761	chr4	+	108690259	108690335	ucsc-mm9-miRNA
mmu-mir-1957	chr4	+	118802383	118802449	ucsc-mm9-miRNA
mmu-mir-30c-1	chr4	-	120442138	120442227	ucsc-mm9-miRNA
mmu-mir-30e	chr4	-	120445210	120445302	ucsc-mm9-miRNA
mmu-mir-697	chr4	+	124408937	124409046	ucsc-mm9-miRNA
mmu-mir-698	chr4	+	124421024	124421133	ucsc-mm9-miRNA
mmu-mir-692-2	chr4	+	125181992	125182101	ucsc-mm9-miRNA
mmu-mir-700	chr4	-	134972469	134972548	ucsc-mm9-miRNA
mmu-mir-34a	chr4	+	149442562	149442664	ucsc-mm9-miRNA
mmu-mir-429	chr4	-	155428013	155428096	ucsc-mm9-miRNA
mmu-mir-200a	chr4	-	155429004	155429094	ucsc-mm9-miRNA
mmu-mir-200b	chr4	-	155429789	155429859	ucsc-mm9-miRNA
mmu-mir-879	chr5	+	9375703	9375779	ucsc-mm9-miRNA
mmu-mir-671	chr5	+	24097931	24098029	ucsc-mm9-miRNA
mmu-mir-1960	chr5	+	30497278	30497356	ucsc-mm9-miRNA
mmu-mir-467g	chr5	-	35075501	35075621	ucsc-mm9-miRNA
mmu-mir-218-1	chr5	+	48615180	48615290	ucsc-mm9-miRNA
mmu-mir-574	chr5	+	65361556	65361634	ucsc-mm9-miRNA
mmu-mir-1187	chr5	-	83227968	83228090	ucsc-mm9-miRNA
mmu-mir-1961	chr5	-	93217476	93217588	ucsc-mm9-miRNA
mmu-mir-703	chr5	-	98904574	98904683	ucsc-mm9-miRNA
mmu-mir-701	chr5	+	111433162	111433271	ucsc-mm9-miRNA
mmu-mir-469	chr5	+	113772105	113772179	ucsc-mm9-miRNA
mmu-mir-1959	chr5	-	119975608	119975683	ucsc-mm9-miRNA
mmu-mir-721	chr5	-	136851585	136851673	ucsc-mm9-miRNA
mmu-mir-702	chr5	+	137467302	137467411	ucsc-mm9-miRNA
mmu-mir-25	chr5	-	138606548	138606632	ucsc-mm9-miRNA
mmu-mir-93	chr5	-	138606750	138606838	ucsc-mm9-miRNA
mmu-mir-106b	chr5	-	138606964	138607046	ucsc-mm9-miRNA
mmu-mir-339	chr5	-	139845603	139845699	ucsc-mm9-miRNA
mmu-mir-653	chr6	-	3671300	3671385	ucsc-mm9-miRNA
mmu-mir-489	chr6	-	3671896	3672003	ucsc-mm9-miRNA
mmu-mir-592	chr6	-	27886654	27886750	ucsc-mm9-miRNA
mmu-mir-129-1	chr6	+	28972618	28972691	ucsc-mm9-miRNA
mmu-mir-182	chr6	-	30115917	30115992	ucsc-mm9-miRNA
mmu-mir-96	chr6	-	30119445	30119551	ucsc-mm9-miRNA
mmu-mir-183	chr6	-	30119667	30119737	ucsc-mm9-miRNA
mmu-mir-335	chr6	+	30691298	30691396	ucsc-mm9-miRNA
mmu-mir-29a	chr6	-	31012659	31012747	ucsc-mm9-miRNA
mmu-mir-29b-1	chr6	-	31013022	31013093	ucsc-mm9-miRNA
mmu-mir-490	chr6	+	36371741	36371825	ucsc-mm9-miRNA
mmu-mir-704	chr6	-	47753574	47753651	ucsc-mm9-miRNA
mmu-mir-148a	chr6	-	51219810	51219909	ucsc-mm9-miRNA
mmu-mir-196b	chr6	-	52180079	52180164	ucsc-mm9-miRNA
mmu-mir-468	chr6	-	81846592	81846670	ucsc-mm9-miRNA
mmu-mir-705	chr6	-	85286285	85286367	ucsc-mm9-miRNA
mmu-mir-706	chr6	-	119984245	119984329	ucsc-mm9-miRNA
mmu-mir-141	chr6	-	124667931	124668003	ucsc-mm9-miRNA
mmu-mir-200c	chr6	-	124668339	124668408	ucsc-mm9-miRNA
mmu-mir-680-1	chr6	+	129641552	129641661	ucsc-mm9-miRNA
mmu-mir-220	chr6	-	136348945	136349031	ucsc-mm9-miRNA
mmu-mir-290	chr7	+	3218626	3218709	ucsc-mm9-miRNA
mmu-mir-291a	chr7	+	3218919	3219001	ucsc-mm9-miRNA
mmu-mir-292	chr7	+	3219189	3219271	ucsc-mm9-miRNA
mmu-mir-291b	chr7	+	3219482	3219561	ucsc-mm9-miRNA
mmu-mir-293	chr7	+	3220343	3220423	ucsc-mm9-miRNA
mmu-mir-294	chr7	+	3220641	3220725	ucsc-mm9-miRNA
mmu-mir-295	chr7	+	3220773	3220842	ucsc-mm9-miRNA
mmu-mir-297a-1	chr7	-	11543785	11543861	ucsc-mm9-miRNA
mmu-mir-330	chr7	+	19766813	19766911	ucsc-mm9-miRNA
mmu-mir-343	chr7	+	19971991	19972066	ucsc-mm9-miRNA
mmu-mir-1191	chr7	+	27990554	27990674	ucsc-mm9-miRNA
mmu-mir-1963	chr7	-	29868654	29868713	ucsc-mm9-miRNA
mmu-mir-1964	chr7	+	30558312	30558395	ucsc-mm9-miRNA
mmu-mir-707	chr7	+	52105068	52105141	ucsc-mm9-miRNA
mmu-mir-150	chr7	+	52377126	52377191	ucsc-mm9-miRNA
mmu-mir-344-1	chr7	-	69022655	69022750	ucsc-mm9-miRNA
mmu-mir-344-2	chr7	-	69084912	69084992	ucsc-mm9-miRNA
mmu-mir-211	chr7	+	71350691	71350797	ucsc-mm9-miRNA
mmu-mir-7a-2	chr7	+	86033162	86033259	ucsc-mm9-miRNA
mmu-mir-9-3	chr7	+	86650149	86650239	ucsc-mm9-miRNA
mmu-mir-1965	chr7	-	87297775	87297901	ucsc-mm9-miRNA
mmu-mir-1839	chr7	+	88674801	88674874	ucsc-mm9-miRNA
mmu-mir-708	chr7	+	103397933	103398042	ucsc-mm9-miRNA
mmu-mir-326	chr7	+	106700778	106700873	ucsc-mm9-miRNA
mmu-mir-139	chr7	+	108623889	108623957	ucsc-mm9-miRNA
mmu-mir-762	chr7	+	134852000	134852076	ucsc-mm9-miRNA
mmu-mir-1962	chr7	+	142757844	142757965	ucsc-mm9-miRNA
mmu-mir-202	chr7	-	147143587	147143659	ucsc-mm9-miRNA
mmu-mir-210	chr7	-	148407282	148407392	ucsc-mm9-miRNA
mmu-mir-675	chr7	-	149762968	149763052	ucsc-mm9-miRNA
mmu-mir-483	chr7	-	149840828	149840901	ucsc-mm9-miRNA
mmu-mir-1968	chr8	-	13189030	13189098	ucsc-mm9-miRNA
mmu-mir-486	chr8	+	24253026	24253154	ucsc-mm9-miRNA
mmu-mir-1186	chr8	-	32213392	32213514	ucsc-mm9-miRNA
mmu-mir-383	chr8	-	39315186	39315256	ucsc-mm9-miRNA
mmu-mir-710	chr8	-	66993128	66993238	ucsc-mm9-miRNA
mmu-mir-1969	chr8	+	73449423	73449517	ucsc-mm9-miRNA
mmu-mir-1199	chr8	-	86535413	86535532	ucsc-mm9-miRNA
mmu-mir-709	chr8	+	86609997	86610085	ucsc-mm9-miRNA
mmu-mir-181d	chr8	-	86702614	86702686	ucsc-mm9-miRNA
mmu-mir-181c	chr8	-	86702771	86702860	ucsc-mm9-miRNA
mmu-mir-23a	chr8	+	86732416	86732491	ucsc-mm9-miRNA
mmu-mir-27a	chr8	+	86732570	86732657	ucsc-mm9-miRNA
mmu-mir-24-2	chr8	+	86732713	86732820	ucsc-mm9-miRNA
mmu-mir-138-2	chr8	+	96848210	96848281	ucsc-mm9-miRNA
mmu-mir-328	chr8	-	107832263	107832360	ucsc-mm9-miRNA
mmu-mir-1966	chr8	+	108139365	108139473	ucsc-mm9-miRNA
mmu-mir-140	chr8	+	110075143	110075213	ucsc-mm9-miRNA
mmu-mir-1967	chr8	+	126546540	126546622	ucsc-mm9-miRNA
mmu-mir-1903	chr8	+	130883140	130883220	ucsc-mm9-miRNA
mmu-mir-1899	chr9	+	8246785	8246881	ucsc-mm9-miRNA
mmu-mir-1900	chr9	-	20836694	20836772	ucsc-mm9-miRNA
mmu-mir-199a-1	chr9	-	21300938	21301008	ucsc-mm9-miRNA
mmu-mir-1946b	chr9	-	21417887	21418020	ucsc-mm9-miRNA
mmu-mir-100	chr9	+	41339507	41339587	ucsc-mm9-miRNA
mmu-let-7a-2	chr9	+	41344798	41344894	ucsc-mm9-miRNA
mmu-mir-125b-1	chr9	+	41390008	41390085	ucsc-mm9-miRNA
mmu-mir-34c	chr9	-	50911138	50911215	ucsc-mm9-miRNA
mmu-mir-34b	chr9	-	50911666	50911750	ucsc-mm9-miRNA
mmu-mir-190	chr9	-	67084466	67084533	ucsc-mm9-miRNA
mmu-mir-184	chr9	-	89697097	89697166	ucsc-mm9-miRNA
mmu-mir-135a-1	chr9	+	106056454	106056544	ucsc-mm9-miRNA
mmu-let-7g	chr9	+	106081170	106081258	ucsc-mm9-miRNA
mmu-mir-191	chr9	+	108470649	108470723	ucsc-mm9-miRNA
mmu-mir-425	chr9	+	108471107	108471192	ucsc-mm9-miRNA
mmu-mir-711	chr9	+	108871966	108872048	ucsc-mm9-miRNA
mmu-mir-128-2	chr9	-	112021139	112021215	ucsc-mm9-miRNA
mmu-mir-467h	chr9	+	115290936	115291057	ucsc-mm9-miRNA
mmu-mir-26a-1	chr9	+	118940913	118941003	ucsc-mm9-miRNA
mmu-mir-138-1	chr9	+	122591993	122592092	ucsc-mm9-miRNA
mmu-mir-805	chrM	-	16114	16209	ucsc-mm9-miRNA
mmu-mir-500	chrX	-	6814808	6814900	ucsc-mm9-miRNA
mmu-mir-501	chrX	-	6818368	6818477	ucsc-mm9-miRNA
mmu-mir-362	chrX	-	6819107	6819172	ucsc-mm9-miRNA
mmu-mir-188	chrX	-	6825114	6825182	ucsc-mm9-miRNA
mmu-mir-532	chrX	-	6825527	6825623	ucsc-mm9-miRNA
mmu-mir-1198	chrX	+	7384226	7384347	ucsc-mm9-miRNA
mmu-mir-221	chrX	-	18723419	18723514	ucsc-mm9-miRNA
mmu-mir-222	chrX	-	18724018	18724097	ucsc-mm9-miRNA
mmu-mir-717	chrX	-	49775583	49775692	ucsc-mm9-miRNA
mmu-mir-363	chrX	-	50094869	50094944	ucsc-mm9-miRNA
mmu-mir-92a-2	chrX	-	50095014	50095105	ucsc-mm9-miRNA
mmu-mir-19b-2	chrX	-	50095159	50095243	ucsc-mm9-miRNA
mmu-mir-20b	chrX	-	50095289	50095369	ucsc-mm9-miRNA
mmu-mir-18b	chrX	-	50095507	50095590	ucsc-mm9-miRNA
mmu-mir-106a	chrX	-	50095679	50095744	ucsc-mm9-miRNA
mmu-mir-450b	chrX	-	50401173	50401255	ucsc-mm9-miRNA
mmu-mir-450a-1	chrX	-	50401330	50401421	ucsc-mm9-miRNA
mmu-mir-450a-2	chrX	-	50401475	50401544	ucsc-mm9-miRNA
mmu-mir-542	chrX	-	50402579	50402664	ucsc-mm9-miRNA
mmu-mir-351	chrX	-	50406431	50406530	ucsc-mm9-miRNA
mmu-mir-503	chrX	-	50407160	50407231	ucsc-mm9-miRNA
mmu-mir-322	chrX	-	50407431	50407526	ucsc-mm9-miRNA
mmu-mir-504	chrX	-	56350834	56350913	ucsc-mm9-miRNA
mmu-mir-505	chrX	-	57647577	57647667	ucsc-mm9-miRNA
mmu-mir-743a	chrX	-	64029931	64029993	ucsc-mm9-miRNA
mmu-mir-743b	chrX	-	64030430	64030507	ucsc-mm9-miRNA
mmu-mir-742	chrX	-	64033547	64033612	ucsc-mm9-miRNA
mmu-mir-883a	chrX	-	64033932	64034008	ucsc-mm9-miRNA
mmu-mir-883b	chrX	-	64043064	64043142	ucsc-mm9-miRNA
mmu-mir-471	chrX	-	64045769	64045836	ucsc-mm9-miRNA
mmu-mir-741	chrX	-	64049979	64050050	ucsc-mm9-miRNA
mmu-mir-463	chrX	-	64052397	64052472	ucsc-mm9-miRNA
mmu-mir-880	chrX	-	64053704	64053782	ucsc-mm9-miRNA
mmu-mir-878	chrX	-	64054682	64054760	ucsc-mm9-miRNA
mmu-mir-881	chrX	-	64055118	64055196	ucsc-mm9-miRNA
mmu-mir-871	chrX	-	64063602	64063679	ucsc-mm9-miRNA
mmu-mir-470	chrX	-	64067125	64067200	ucsc-mm9-miRNA
mmu-mir-465c-1	chrX	-	64079129	64079210	ucsc-mm9-miRNA
mmu-mir-465b-1	chrX	-	64082376	64082455	ucsc-mm9-miRNA
mmu-mir-465c-2	chrX	-	64085691	64085772	ucsc-mm9-miRNA
mmu-mir-465b-2	chrX	-	64088938	64089017	ucsc-mm9-miRNA
mmu-mir-465a	chrX	-	64092226	64092300	ucsc-mm9-miRNA
mmu-mir-1274a	chrX	+	64206352	64206435	ucsc-mm9-miRNA
mmu-mir-201	chrX	-	65241270	65241336	ucsc-mm9-miRNA
mmu-mir-547	chrX	-	65241548	65241626	ucsc-mm9-miRNA
mmu-mir-509	chrX	-	65263279	65263354	ucsc-mm9-miRNA
mmu-mir-224	chrX	-	69506369	69506451	ucsc-mm9-miRNA
mmu-mir-452	chrX	-	69507562	69507647	ucsc-mm9-miRNA
mmu-mir-105	chrX	-	69836838	69836918	ucsc-mm9-miRNA
mmu-mir-718	chrX	-	71269187	71269275	ucsc-mm9-miRNA
mmu-mir-1906	chrX	-	86004812	86004892	ucsc-mm9-miRNA
mmu-mir-223	chrX	+	93438155	93438265	ucsc-mm9-miRNA
mmu-mir-676	chrX	+	97576435	97576524	ucsc-mm9-miRNA
mmu-mir-421	chrX	-	100768259	100768335	ucsc-mm9-miRNA
mmu-mir-374	chrX	-	100768398	100768493	ucsc-mm9-miRNA
mmu-mir-672	chrX	-	101311513	101311613	ucsc-mm9-miRNA
mmu-mir-384	chrX	-	102539620	102539708	ucsc-mm9-miRNA
mmu-mir-325	chrX	-	102574420	102574518	ucsc-mm9-miRNA
mmu-mir-361	chrX	-	110188432	110188502	ucsc-mm9-miRNA
mmu-mir-1970	chrX	-	132320652	132320756	ucsc-mm9-miRNA
mmu-mir-652	chrX	+	139173542	139173640	ucsc-mm9-miRNA
mmu-mir-680-2	chrX	+	140732332	140732442	ucsc-mm9-miRNA
mmu-mir-764	chrX	+	143436801	143436909	ucsc-mm9-miRNA
mmu-mir-448	chrX	+	143592752	143592864	ucsc-mm9-miRNA
mmu-let-7f-2	chrX	+	148346888	148346971	ucsc-mm9-miRNA
mmu-mir-98	chrX	+	148347756	148347864	ucsc-mm9-miRNA
